Section ID;SECTION NAME;LABEL 1;LABEL 2;ITEM TEXT;NO.OF.USES;NOTES;CURRENT CORE;ALL REPEATS;REL.REPEATS
1;A core;TvTot;A1 (R1);On an average weekday, how much time, in total, do you spend watching television?;81;Asked in rounds 1-7;;7;6
1;A core;TvPol;A2 (R1);On an average weekday, how much of your time watching television is spent watching news or programmes about politics and current affairs?;68;Asked in rounds 1-7;;7;6
1;A core;RdTot;A3 (R1);On an average weekday, how much time, in total, do you spend listening to the radio?;33;Asked in rounds 1-7;;7;6
1;A core;RdPol;A4 (R1);On an average weekday, how much of your time listening to the radio is spent listening to news or programmes about politics and current affairs;43;Asked in rounds 1-7;;7;6
1;A core;NwspTot;A5 (R1);On an average weekday, how much time, in total, do you spend reading the newspapers?;55;Asked in rounds 1-7;;7;6
1;A core;NwspPol;A6 (R1);And how much of this time is spent reading about politics and current affairs?;48;Asked in rounds 1-7;;7;6
1;A core;NetUse;A7 (R1);How often do you use the internet, the World Wide Web or e-mail ? whether at home or at work ? for your personal use?;75;Asked in rounds 1-7;;7;6
1;A core;;A1 (R8);On a typical week day, about how much time do you spend watching, reading or listening to news about politics and current affairs ?  ;0;Asked from Round 8 on;Yes;1;0
1;A core;;A2 (R8);People can use the internet on different devices such as computers, tablets and smartphones. How often do you use the internet on these or any other devices? ;0;Asked from Round 8 on;Yes;1;0
1;A core;;A3 (R8);Thinking about a typical weekday, approximately how many hours do you spend actively using the internet on a computer, tablet, smartphone or other device?;0;Asked from Round 8 on;Yes;1;0
1;A core;PplTrst;A8 (R1);Would you say that most people can be trusted, or that you can?t be too careful in dealing with people?;388;All rounds;Yes;8;6
1;A core;PplFair;A9 (R1);Do you think that most people would try to take advantage of you if they got the chance, or would they try to be fair?;193;All rounds;Yes;8;6
1;A core;PplHlp;A10 (R1);Would you say that most of the time people try to be helpful or that they are mostly looking out for themselves? ;173;All rounds;Yes;8;6
2;B core;PolIntr;B1 (R1);How interested would you say you are in politics?;176;All rounds;Yes;8;6
2;B core;psppsgv;B1a (R7);How much would you say the political system in [country] allows people like you to have a say in what the government does?;0;Asked from Round 7 on;Yes;2;0
2;B core;actrolg;B1b (R7);How able do you think you are to take an active role in a group involved with political issues?;0;Asked from Round 7 on;Yes;2;0
2;B core;psppipl;B1c (R7);And how much would you say that the political system in [country] allows people like you to have an influence on politics?;0;Asked from Round 7 on;Yes;2;0
2;B core;cptppol;B1d (R7);How confident are you in your own ability to participate in politics?;0;Asked from Round 7 on;Yes;2;0
2;B core;ptcpplt;B1e (R7);How much would you say that politicians care what people like you think?;0;Asked in Round 7;;1;0
2;B core;etapapl;B1f (R7);How easy do you personally find it to take part in politics;0;Asked in Round 7;;1;0
2;B core;PolCmpl;B2 (R1);How often does politics seem so complicated that you can?t really understand what is going on?;59;Asked in Rounds 1-4;;4;4
2;B core;PolActiv;B3 (R1);Do you think that you could take an active role in a group involved with political issues?;25;All rounds;Yes;8;6
2;B core;PolDcs;B4 (R1);How difficult or easy do you find it to make your mind up about political issues?;46;Asked in Rounds 1-4;;4;4
2;B core;PltCare;B5 (R1);Do you think that politicians in general care what people like you think?;29;All rounds;Yes;8;6
2;B core;PltInVt;B6 (R1);Would you say that politicians are just interested in getting people?s votes rather than in people?s opinions?;24;All rounds;Yes;8;6
2;B core;TrstPrl;B7 (R1);Trust in [country]?s parliament;259;All rounds;Yes;8;6
2;B core;TrstLgl;B8 (R1);Trust in the legal system;209;All rounds;Yes;8;6
2;B core;TrstPlc;B9 (R1);Trust in the police;180;All rounds;Yes;8;6
2;B core;TrstPlt;B10 (R1);Trust in politicians?;219;All rounds;Yes;8;6
2;B core;TrstPrt;B8 (R2);Trust in political parties;129;Asked from Round 2 on;Yes;7;5
2;B core;TrstEP;B11 (R1);Trust in the European Parliament?;85;All rounds;Yes;8;6
2;B core;TrstUN;B12 (R1);Trust in the United Nations?;61;All rounds;Yes;8;6
2;B core;Vote;B13 (R1);Some people don?t vote nowadays for one reason or another. Did you vote in the last [country] national election in [month/year]?;187;All rounds;Yes;8;6
2;B core;PrtVtxx;B14 (R1);Which party did you vote for in that election?;76;All rounds;Yes;8;6
2;B core;ContPlt;B15 (R1);Contacted a politician, government or local government official;112;All rounds;Yes;8;6
2;B core;WrkPrty;B16 (R1);Worked in a political party or action group;99;All rounds;Yes;8;6
2;B core;WrkOrg;B17 (R1);Worked in another organisation or association;88;All rounds;Yes;8;6
2;B core;Badge;B18 (R1);Worn or displayed a campaign badge/sticker;82;All rounds;Yes;8;6
2;B core;SgnPtit;B19 (R1);Signed a petition;132;All rounds;Yes;8;6
2;B core;PblDmn;B20 (R1);Taken part in a lawful public demonstration;141;All rounds;Yes;8;6
2;B core;BctPrd;B21 (R1);Boycotted certain products;126;All rounds;Yes;8;6
2;B core;BghtPrd;B22 (R1);Deliberately bought certain products for political, ethical or environmental reasons;51;Asked in Round 1;;1;1
2;B core;DntMny;B23 (R1);Donated money to a political organisation or group;34;All rounds;Yes;8;6
2;B core;IlglPst;B24 (R1);Participated in illegal protest activities;32;All rounds;Yes;8;6
2;B core;;B22 (R8);Posted or shared anything about politics online, for example on Facebook, Twitter, blogs or via email?;0;Asked from Round 8 on;Yes;1;0
2;B core;ClsPrty;B25a (R1);Is there a particular political party you feel closer to than all the other parties?;64;All rounds;Yes;8;6
2;B core;PrtClsxx;B25b (R1);Which one?;12;All rounds;Yes;8;6
2;B core;PrtDgCl;B25c (R1);How close do you feel to this party?;10;All rounds;Yes;8;6
2;B core;MmbPrty;B26 (R1);Are you a member of any political party?;58;All rounds;Yes;8;6
2;B core;PrtMbxx;B27 (R1);Which one?;1;All rounds;Yes;8;6
2;B core;implvdm;B18d (R6);How important is it for you to live in a country that is governed democratically?;2;Asked in Round 6 (part of Democracy module);;1;1
2;B core;dmcntov;B18e (R6);How democratic do you think [country] is overall? ;0;Asked in Round 6 (part of Democracy module);;1;1
2;B core;LRScale;B28 (R1);In politics people sometimes talk of ?left? and ?right?. Where would you place yourself on this scale?;257;All rounds;Yes;8;6
2;B core;StfLife;B29 (R1);All things considered, how satisfied are you with your life as a whole nowadays?;245;All rounds;Yes;8;6
