country,language,iso3
Austria,German,deu
Belgium,Dutch,nld
Bulgaria,Bulgarian,bul
Cyprus,Greek,ell
Denmark,Danish,dan
Estonia,Estonian,est
Finland,Finnish,fin
France,French,fra
Germany,German,deu
Hungary,Hungarian,hun
Ireland,English,eng
Latvia,Latvian,lav
Netherlands,Dutch,nld
Norway,Norwegian,nor
Poland,Polish,pol
Portugal,Portuguese,por
Romania,Romanian,ron
Russian Federation,Russian,rus
Slovakia,Slovak,slk
Slovenia,Slovene,slv
Spain,Spanish,spa
Sweden,Swedish,swe
Switzerland,German,deu
Ukraine,Ukrainian,ukr
United Kingdom,English,eng
