country;label;domains;stages;planned.npsu;planned.nnet;planned.ngross;planned.neff;neff.min;planned.b;planned.rho;planned.deffc;planned.deffp;planned.deff;stratex1;popsize;equal.weight;household;clu;reserve
Albania;AL;1;3;267;1206;1602;900;1500;4,52;0,02;1,07;1,25;1,34;yes;2353808;0;yes;yes;no
Austria;AT;1;3;380;2490;3909;1500;1500;6,5;0,06;1,3;1,28;1,66;yes;7886165;0;yes;yes;no
Belgium;BE;1;2;363;1800;3267;1500;1500;5;0,04;1,16;1;1,16;no;9007671;1;no;yes;no
Bulgaria;BG;1;3;400;2232;3200;1341;1500;6,2;0,07;1,364;1,22;1,664;no;6320812;0;yes;yes;no
Switzerland;CH;1;1;2900;1505;2900;1500;1500;1;0;1;1;1;yes;6399928;1;no;no;no
Cyprus;CY;1;2;1589;968;1589;800;800;1;0;1;1,21;1,21;yes;692342;0;yes;yes;no
Czech Republic;CZ;1;3;430;2023;3010;1532;1500;4,7;0,03;1,1;1,2;1,32;yes;9045105;0;yes;yes;no
Germany;DE;1;2;156;3016;8568;1630;1500;17,95;0,04;1,678;1,1;1,846;yes;69791135;0;no;yes;yes
Denmark;DK;1;1;3169;1563;2900;1563;1500;1;0;1;1;1;no;4543812;1;no;no;no
Estonia;EE;1;1;3707;2000;3707;2000;1500;1;0;1;1;1;yes;1009504;1;no;no;no
Spain;ES;1;2;NA;1912;2868;1500;1500;4,26;0,05;1,176;1,083;1,274;yes;39792016;0;no;yes;
Finland;FI;1;1;3300;2275;3300;2275;1500;1;0;1;1;1;no;4488125;1;no;no;
France;FR;1;3;238;2000;4479;1176,5;1500;9;0,05;1,36;1,25;1,7;yes;53724000;0;yes;yes;
United Kingdom;UK;1;5;226;2288;4520;1528;1500;10,12;0,03;1,237;1,21;1,497;no;52061968;0;yes;yes;
Hungary;HU;1,1;1;1199;580;1199;580;NA;1;0;1;1;1;yes;3197814;1;no;no;no
Hungary;HU;1,2;2;235;1316;1995;957;NA;6;0,08;1,375;1;1,375;yes;5375770;1;no;yes;no
Hungary;HU;2;2;1434;1896;3194;1537;1500;NA;NA;NA;NA;1,236;yes;8573584;1;no;yes;no
Ireland;IE;1;3;222;2385;4420;1500;1500;10,08;0,03;1,31;1,21;1,585;no;3666495;0;yes;yes;
Israel;IL;1;3;190;2390;3230;1265;1500;11,5;0,07;1,735;1,05;1,822;yes;5594338;0;yes;yes;
Italy;IT;1;2;135;1890;2780;1500;1500;14;0,02;1,26;1;1,26;yes;50255986;1;no;yes;
Iceland;IS;1,1;1;1082;675;1082;675;NA;1;0;1;1;1,099;no;239641;1;no;no;no
Iceland;IS;1,2;2;10;215;345;152;NA;21,5;0,02;1,41;1;1,41;yes;10774;1;no;yes;no
Iceland;IS;2;2;1092;890;1427;827;800;NA;NA;NA;NA;1,099;yes;250415;1;no;yes;no
Netherlands;NL;1;2;1533;1809;3174;1533;1500;1;0;1;1,184;1,184;no;13862834;0;yes;yes;
Norway;NO;1,1;1;2043;1189;2043;1189;NA;1;0;1;1;1;no;1488515;1;no;no;no
Norway;NO;1,2;2;69;411;707;373;NA;6,15;0,02;1,103;1;1,103;yes;3039000;1;no;yes;no
Norway;NO;2;2;2112;1600;2750;1562;1500;NA;NA;NA;NA;1,026;yes;4527515;1;no;yes;no
Poland;PL;1,1;1,1;NA;NA;NA;NA;NA;1;0;1;1;1,168;no;12275805;1;no;no;no
Poland;PL;1,2;1,2;NA;NA;NA;NA;NA;3;0,13;1,26;1,015;1,2789;no;20165540;0;no;yes;no
Poland;PL;2;1;;1752;2704;1500;1500;NA;NA;NA;NA;1,168;no;32441532;0;no;yes;no
Portugal;PT;1,1;3;180;NA;NA;NA;NA;NA;NA;NA;NA;NA;yes;NA;0;yes;yes;
Portugal;PT;1,2;3;145;NA;NA;NA;NA;NA;NA;NA;NA;NA;yes;NA;0;yes;yes;
Portugal;PT;2;3;325;2130;3040;1500;1500;2,8;0,1;1,18;1,2;1,416;yes;8912968;0;yes;yes;
Russian Federation;RU;1,1;4;116;NA;NA;NA;NA;NA;NA;NA;NA;;yes;NA;0;yes;yes;
Russian Federation;RU;1,2;3;68;NA;NA;NA;NA;NA;NA;NA;NA;;yes;NA;0;yes;yes;
Russian Federation;RU;2;4;184;2565;3772;1500;1500;NA;NA;NA;NA;1,71;yes;119392000;0;yes;yes;
Sweden;SE;1;1;3750;2198;3750;2198;1500;1;0;1;1;1;no;7899060;1;no;no;
Slovenia;SI;1;2;150;1470;2250;1081;800;10;0,04;1,36;1;1,36;yes;1729070;1;no;yes;
Slovakia;SK;1;4;250;1754;2506;1200;1500;7;0,05;1,3;1,305;1,697;yes;4569200;0;yes;yes;
Kosovo;XK;1;3;163;1224;2282;900;800;7,5;0,02;1,13;1,2;1,356;yes;1257893;0;yes;yes;
Lithuania;LT;1,1;2;964;1157;2804;964;NA;1;0;1;1,2;1,2;yes;1664473;0;yes;yes;
Lithuania;LT;1,2;3;119;836;1666;536;NA;7;0,05;1,3;1,2;1,56;yes;925744;0;yes;yes;
Lithuania;LT;2;4;2923;1993;4470;1500;1500;NA;NA;NA;NA;1,329;yes;2590217;0;yes;yes;
Ukraine;UA;1;4;308;2400;3692;1500;1500;7,8;0,05;0,34;1,2;1,6;yes;38897821;0;yes;yes;
